Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),fuel type,gearbox,Noise level (dB(A)),Nox emissions (g/km),HC emissions (g/km),CO2 emission (g/km),CO emissions (g/km)
-2.306687585,-0.863443873,-1.689705175,-1.277345062,0.768589942,-0.060877563,0.018,0.018,104,0.063
-1.859830135,-0.863443873,-1.689705175,-1.277345062,0.768589942,-0.060877563,0.018,0.021,104,0.063
-2.53011631,-0.863443873,-1.689705175,-1.277345062,0.768589942,-0.060877563,0.018,0.021,104,0.063
-2.08325886,-0.863443873,-1.689705175,-1.277345062,0.768589942,-3.676004887,0.0001,0.018,104,0.021
-1.412972685,-0.863443873,-1.600473606,-1.277345062,0.768589942,-0.009915057,0.166,0.022,110,0.38
-1.63640141,-0.863443873,-1.600473606,-1.277345062,0.768589942,-0.060877563,0.176,0.026,105,0.36
-0.74268651,-0.695160386,-1.600473606,-1.277345062,0.768589942,-0.162802576,0.179,0.052,110,0.254
-1.63640141,-1.229217074,-1.555857822,0.782047997,0.360397637,-0.11184007,0.007,0.033,99,0.259
-0.74268651,-1.507371599,-1.555857822,0.782047997,0.360397637,-0.249438837,0.02,0.03,99,0.15
-0.74268651,-0.953844094,-1.511242037,-1.277345062,0.360397637,-0.060877563,0.181,0.03,116,0.207
-0.74268651,-0.695160386,-1.511242037,-1.277345062,0.768589942,-0.162802576,0.179,0.052,115,0.254
-0.74268651,-0.953844094,-1.466626253,-1.277345062,0.360397637,-0.060877563,0.181,0.03,118,0.207
-0.74268651,-0.695160386,-1.466626253,-1.277345062,0.768589942,-0.009915057,0.203,0.036,119,0.211
-0.74268651,-0.695160386,-1.466626253,-1.277345062,0.768589942,-0.009915057,0.203,0.036,117,0.211
-0.072400334,-0.818939149,-1.466626253,-1.277345062,0.360397637,-0.060877563,0.18,0.05,118,0.36
-0.74268651,-1.507371599,-1.466626253,0.782047997,0.360397637,-0.060877563,0.02,0.04,106,0.32
-0.519257785,-0.863443873,-1.422010468,-1.277345062,0.360397637,0.04104745,0.199,0.016,120,0.143
-0.74268651,-0.863443873,-1.422010468,-1.277345062,0.360397637,0.04104745,0.199,0.016,120,0.143
-0.966115235,-0.863443873,-1.422010468,-1.277345062,0.360397637,0.04104745,0.199,0.016,120,0.143
-0.295829059,-1.507371599,-1.422010468,0.782047997,0.360397637,-0.11184007,0.01,0.05,109,0.37
-0.74268651,-1.507371599,-1.422010468,0.782047997,1.040718146,-0.060877563,0.01,0.05,107,0.38
-0.295829059,-1.507371599,-1.422010468,0.782047997,1.040718146,-0.009915057,0.03,0.05,109,0.35
-2.121241744,-1.230607847,-1.422010468,0.782047997,-1.136307483,-0.213765083,0.032,0.026,106,0.108
-2.753545036,-0.863443873,-1.377394684,-1.277345062,0.768589942,-0.060877563,0.027,0.031,123,0.016
-0.295829059,-0.863443873,-1.377394684,-1.277345062,0.360397637,-0.11184007,0.211,0.023,125,0.201
-0.74268651,-1.507371599,-1.377394684,0.782047997,1.040718146,-0.101647568,0.02,0.04,110,0.12
-0.74268651,-1.04702586,-1.3327789,0.782047997,0.768589942,-0.249438837,0.016,0.024,113,0.098
-2.121241744,-1.230607847,-1.3327789,0.782047997,-1.136307483,-0.11184007,0.032,0.026,110,0.108
-2.121241744,-1.230607847,-1.3327789,0.782047997,0.768589942,-0.060877563,0.039,0.032,112,0.197
-1.412972685,-0.863443873,-1.288163115,-1.277345062,0.768589942,-0.009915057,0.137,0.022,129,0.371
-0.74268651,-1.507371599,-1.243547331,0.782047997,0.360397637,-0.086358816,0.02,0.07,118,0.4
-0.295829059,-1.384983608,-1.243547331,0.782047997,0.360397637,0.030854949,0.023,0.035,119,0.323
-1.18954396,-0.863443873,-1.198931547,-1.277345062,0.768589942,0.092009956,0.114,0.018,134,0.417
-0.072400334,-0.863443873,-1.198931547,-1.277345062,0.360397637,-0.11184007,0.228,0.029,135,0.129
-0.295829059,-0.863443873,-1.198931547,-1.277345062,0.360397637,-0.060877563,0.227,0.032,136,0.218
-2.753545036,-1.229217074,-1.198931547,0.782047997,-0.319922872,-0.060877563,0.007,0.036,119,0.302
-1.63640141,-1.229217074,-1.198931547,0.782047997,-0.319922872,-0.060877563,0.01,0.039,119,0.366
-0.74268651,-1.04702586,-1.198931547,0.782047997,1.040718146,-0.249438837,0.016,0.024,120,0.098
