Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),fuel type,gearbox,Noise level (dB(A)),PM emissions (g/km),Nox emissions (g/km),HC emissions (g/km),CO2 emission (g/km),CO emissions (g/km)
-0.072400334,1.752599436,0.585699827,0.782047997,-1.68056389,0.04104745,0.05,0.485,,241,0.07
-0.072400334,-0.949671776,-1.109699978,0.782047997,0.360397637,-0.11184007,0.02,0.22,0.02,141,0.12
1.044743291,-0.917684006,2.058020711,-1.277345062,0.360397637,-0.009915057,0.02,0.331,NA,116,0.116
-0.519257785,1.211588884,1.790326005,-1.277345062,-1.68056389,-0.020107558,0.05,0.31,0.01,313,0.03
-0.74268651,1.211588884,1.790326005,-1.277345062,-1.68056389,-0.020107558,0.05,0.31,0.01,313,0.03
0.430314297,2.895814534,1.478015514,-1.277345062,0.360397637,0.153164964,0.08,0.58,NA,292,0.62
-0.295829059,2.895814534,1.478015514,-1.277345062,0.360397637,0.153164964,0.08,0.58,NA,292,0.62
-0.519257785,1.211588884,1.388783946,-1.277345062,0.496461739,0.066528703,0.06,0.33,0.04,288,0.22
-0.74268651,1.211588884,1.388783946,-1.277345062,0.496461739,0.066528703,0.06,0.33,0.04,288,0.22
1.268172016,1.211588884,1.344168161,-1.277345062,-1.816627992,-0.060877563,0.05,N/A,N/A,287,0.6
1.044743291,1.211588884,1.344168161,-1.277345062,-1.816627992,-0.060877563,0.05,N/A,N/A,287,0.6
0.821314566,1.211588884,1.344168161,-1.277345062,0.224333535,0.086913706,0.06,0.62,0.09,288,0.49
-0.295829059,1.211588884,1.344168161,-1.277345062,0.224333535,0.086913706,0.06,0.62,0.09,288,0.49
0.821314566,1.211588884,1.344168161,-1.277345062,-1.816627992,0.000277445,0.08,0.55,0.09,287,0.51
-0.295829059,1.211588884,1.344168161,-1.277345062,-1.816627992,0.000277445,0.08,0.55,0.09,287,0.51
1.268172016,1.211588884,1.344168161,-1.277345062,0.224333535,0.092009956,0.08,N/A,N/A,288,0.43
1.044743291,1.211588884,1.344168161,-1.277345062,0.224333535,0.092009956,0.08,N/A,N/A,288,0.43
1.044743291,0.809655595,1.299552377,-1.277345062,-1.68056389,0.04104745,0.12,N/A,N/A,283,0.508
